Order ID,Date,Time,Restaurant,Cuisine,Customer ID,Delivery Partner ID,Order Status,Food Item,Quantity,Order Value (INR),Delivery Time (min),Customer Rating,Delivery Partner Rating,Cancellation Reason
ZM100222,11/15/2025,10:10:00 PM,Meghana Foods,South Indian,CUST3807,DP542,Delivered,Burger Combo,4,414.19,50,3.10,3.00,
ZM100696,11/18/2025,2:25:00 PM,Taco Bell,Biryani,CUST8594,DP846,Delivered,Paneer Butter Masala,4,611.94,25,3.10,3.70,
ZM100805,12/7/2025,12:46:00 PM,Burger King,South Indian,CUST2376,DP651,Cancelled by Customer,Paneer Butter Masala,,,,,,Found cheaper elsewhere
ZM100755,12/9/2025,12:02:00 PM,Leon Grill,Fast Food,CUST3903,DP929,Cancelled by Customer,Burger Combo,,,,,,Delivery too far
ZM100894,12/9/2025,9:26:00 AM,WOW Momo,North Indian,CUST4846,DP744,Cancelled by Restaurant,Noodles,,,,,,Item not available
ZM100056,12/3/2025,7:39:00 PM,Paradise Biryani,Bakery,CUST5941,DP935,Delivered,Tacos,2,179.28,60,3.50,4.40,
ZM100070,11/18/2025,7:05:00 AM,Beijing Bites,American,CUST7693,DP730,Delivered,Pasta Alfredo,1,242.50,31,4.10,3.30,
ZM100440,12/8/2025,9:31:00 PM,Chianti,Thai,CUST1781,DP703,Delivered,Tacos,3,732.56,39,3.50,4.70,
ZM100422,12/6/2025,5:21:00 PM,Paradise Biryani,Fast Food,CUST3381,DP741,Delivered,Momos,1,245.38,60,3.00,3.20,
ZM100018,11/25/2025,4:30:00 AM,Five Star Chicken,Biryani,CUST8062,DP681,Delivered,Chicken Wings,2,732.00,46,3.40,3.20,
ZM100850,12/7/2025,1:30:00 AM,Chianti,South Indian,CUST6359,DP665,Cancelled by Customer,Sandwich,,,,,,Delivery too far
ZM100705,12/10/2025,10:16:00 AM,Tunday Kababi,Chinese,CUST8295,DP993,Delivered,Chicken Wings,4,137.02,30,4.80,4.50,
ZM100863,11/14/2025,11:13:00 AM,Biriyani Zone,Fast Food,CUST1648,DP766,Cancelled by Customer,Pasta Alfredo,,,,,,Ordered by mistake
ZM100468,11/26/2025,5:17:00 AM,Tunday Kababi,American,CUST7210,DP875,Delivered,Sandwich,3,542.45,49,3.00,4.30,
ZM100668,11/27/2025,12:33:00 PM,A2B - Adyar Ananda Bhavan,North Indian,CUST4926,DP629,Delivered,Pasta Alfredo,1,776.35,23,4.40,4.60,
ZM100500,11/13/2025,4:57:00 AM,Five Star Chicken,Chinese,CUST3384,DP872,Delivered,Farmhouse Pizza,1,554.73,27,3.40,4.70,
ZM100577,12/12/2025,1:15:00 AM,WOW Momo,North Indian,CUST8509,DP981,Delivered,Farmhouse Pizza,1,436.30,33,4.60,4.30,
ZM100698,12/8/2025,11:21:00 PM,A2B - Adyar Ananda Bhavan,Italian,CUST9411,DP555,Delivered,Fried Rice,4,350.48,23,4.10,4.80,
ZM100362,11/19/2025,7:40:00 PM,Five Star Chicken,Italian,CUST5072,DP746,Delivered,Pasta Alfredo,3,524.90,59,3.20,4.30,
ZM100544,12/8/2025,10:33:00 PM,McDonald's,Mexican,CUST6187,DP653,Delivered,Fried Rice,3,424.19,56,3.90,3.40,
ZM100213,11/23/2025,6:58:00 AM,Paradise Biryani,Italian,CUST6053,DP633,Delivered,Fried Rice,3,724.90,44,3.90,4.30,
ZM100119,11/28/2025,10:35:00 PM,Koshy’s,Mexican,CUST8043,DP556,Delivered,Noodles,4,443.06,33,4.50,3.20,
